id,question,answer,legal_reference,direction,language
54,What does Article 304 of the Egyptian Civil Code state?,A right can only be assigned to the extent to which it can be attached.,Article 304,forward,en
55,في أي مادة من القانون المدني المصري ورد هذا النص: «لا تجوز حوالة الحق إلا بمقدار ما يكون منه قابلا للحجز.»؟,المادة 304,مادة 304,reverse,ar
56,"In which article of the Egyptian Civil Code does the following text appear: ""A right can only be assigned to the extent to which it can be attached.""?",Article 304,Article 304,reverse,en
57,ما نص المادة 325 من القانون المدني المصري؟,(١ (يشترط لصحة الوفاء أن يكون الوفاء أن يكون المو في مالكا للشيء الذي وفي به ، وأن يكون ذا أهلية للتصرف فيه. (٢ (ومع ذلك فالوفاء بالشيء المستحق ممن ليس أهلا للتصرف فيه ينقضي به الالتزام ، إذا لم يلحق الوفاء ضررا بالموفي.,مادة 325,forward,ar
58,What does Article 325 of the Egyptian Civil Code state?,"Payment is only valid if the person who made the payment is the owner of that with which he has paid the obligation and has the capacity of disposing of it. When payment of that which is due is made by a person without the necessary legal capacity to dispose of the thing with which payment is effected, it extinguishes the obligation provided that it does not prejudice the person who has paid.",Article 325,forward,en
59,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يشترط لصحة الوفاء أن يكون الوفاء أن يكون المو في مالكا للشيء الذي وفي به ، وأن يكون ذا أهلية للتصرف فيه. (٢ (ومع ذلك فالوفاء بالشيء …»؟,المادة 325,مادة 325,reverse,ar
60,"In which article of the Egyptian Civil Code does the following text appear: ""Payment is only valid if the person who made the payment is the owner of that with which he has paid the obligation and has the capacity of …""?",Article 325,Article 325,reverse,en
61,ما نص المادة 346 من القانون المدني المصري؟,)١ (يجب أن يتم الوفاء فورا بمجرد ترتب الالتزام نهائيا في ذمة المدين ، ما لم يوجد اتفاق أو نص يقضي بغير ذلك . )٢ (على أنه يجوز للقاضي في حالات استثنائية ، إذا لم يمنعه نص في القانون ، أن ينظر المدين إلى أجل معقول أو أجال ينفذ فيها التزامه ، إذا استدعت حالته ذلك ولم يلحق الدائن من هذا التأجيل ضرر جسيم.,مادة 346,forward,ar
62,What does Article 346 of the Egyptian Civil Code state?,"In the absence of an agreement or of a provision of the law to the contrary, payment must be made as soon as the obligation has been definitely created as a liability of the debtor. The judge may in exceptional cases and in the absence of a provision of the law to the contrary, grant to the debtor, when his position so requires, one or more reasonable delays for the performance of his obligation, provided that no serious prejudice is thereby caused to the creditor.",Article 346,forward,en
63,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يجب أن يتم الوفاء فورا بمجرد ترتب الالتزام نهائيا في ذمة المدين ، ما لم يوجد اتفاق أو نص يقضي بغير ذلك . )٢ (على أنه يجوز للقاضي في …»؟,المادة 346,مادة 346,reverse,ar
64,"In which article of the Egyptian Civil Code does the following text appear: ""In the absence of an agreement or of a provision of the law to the contrary, payment must be made as soon as the obligation has been …""?",Article 346,Article 346,reverse,en
65,ما نص المادة 367 من القانون المدني المصري؟,)١ (لا يجوز أن تقع المقاصة أضرارا بحقوق كسبها الغير. )٢ (فإذا أوقع الغير حجزا تحت يد المدين ، ثم أصبح المدين دائنا لدائنه ، فلا يجوز له أن يتمسك بالمقاصة إضرارا بالحاجز.,مادة 367,forward,ar
66,What does Article 367 of the Egyptian Civil Code state?,"Compensation cannot take place to the detriment of rights acquired by third parties. If, after the seizure by a third party of the property held by the debtor for his creditor, such debtor becomes the creditor of his creditor, he cannot set up compensation to the prejudice of the attaching creditor.",Article 367,forward,en
67,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (لا يجوز أن تقع المقاصة أضرارا بحقوق كسبها الغير. )٢ (فإذا أوقع الغير حجزا تحت يد المدين ، ثم أصبح المدين دائنا لدائنه ، فلا يجوز له أن …»؟,المادة 367,مادة 367,reverse,ar
68,"In which article of the Egyptian Civil Code does the following text appear: ""Compensation cannot take place to the detriment of rights acquired by third parties. If, after the seizure by a third party of the property …""?",Article 367,Article 367,reverse,en
69,ما نص المادة 419 من القانون المدني المصري؟,(١ (يجب أن يكون المشتري عالما بالبيع علما كافيا ، ويعتبر العلم كافيا إذا اشتمل العقد على بيان المبيع وأوصافه الأساسية بيانا يمكن من تعرفه. (٢ (وإذا ذكر في عقد البيع أن المشتري عالم بالمبيع ، سقط حقه في طلب إبطال البيع بدعوى عدم علمه به إلا إذا أثبت تدليس البائع.,مادة 419,forward,ar
70,What does Article 419 of the Egyptian Civil Code state?,"The purchaser must have a sufficient acquaintance with the thing sold. This acquaintance will be deemed sufficient if the contract contains the description of the thing sold and its essential qualities, so that it may be identified. The statement in a deed of sale that the purchaser is acquainted with the thing, deprives him of the right to claim annulment of the sale on the ground of want of acquaintance with the thing, unless he proves fraud on the part of the vendor.",Article 419,forward,en
71,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يجب أن يكون المشتري عالما بالبيع علما كافيا ، ويعتبر العلم كافيا إذا اشتمل العقد على بيان المبيع وأوصافه الأساسية بيانا يمكن من تعرفه. …»؟,المادة 419,مادة 419,reverse,ar
72,"In which article of the Egyptian Civil Code does the following text appear: ""The purchaser must have a sufficient acquaintance with the thing sold. This acquaintance will be deemed sufficient if the contract contains …""?",Article 419,Article 419,reverse,en
73,ما نص المادة 440 من القانون المدني المصري؟,(١ (إذا رفعت على المشتري دعوى باستحقاق المبيع وأخطر ا البائع ، كان على البائع بحسب الأحوال ، ووفقا لقانون المرافعات أن يتدخل في الدعوى إلى جانب المشتري أو أن يحل فيها محله. (٢ (فإذا تم الأخطار في الوقت الملائم ولم يتدخل البائع في الدعوى ، وجب عليه الضمان إلا إذا أثبت أن الحكم الصادر في الدعوى كان نتيجة لتدليس من المشتري أو الخطأ جسيم منه. (٣ (وإذا لم يخطر المشتري البائع بالدعوى في الوقت الملائم وصدر عليه حكم حاز قوة الأمر المقضي فقد حقه في الرجوع بالضمان إذا أثبت البائع أن تدخله في الدعوى كان يؤدي إلى رفض دعوى الاستحقاق.,مادة 440,forward,ar
74,What does Article 440 of the Egyptian Civil Code state?,"When an action for revendication in respect of the thing sold is brought against the purchaser, the vendor, upon receipt of notice of the action, shall, according to the circumstances and in conformity with the provisions of the Code of Procedure, join as a co-defendant with the purchaser, or take his place as defendant in the action. If notice is given in due time, the vendor who has not joined in the action, is liable under his warranty, unless he proves that the judgment given in the action is the result of fraud or of gross negligence on the part of the purchaser. If the purchaser does not notify the vendor of the action brought against him in due time and is dispossessed by a judgment that has become final, he shall be deprived of his right of recourse under the warranty, if the vendor establishes that, had he joined in the action, he would have succeeded in obtaining the dismissal of the action for revendication.",Article 440,forward,en
75,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (إذا رفعت على المشتري دعوى باستحقاق المبيع وأخطر ا البائع ، كان على البائع بحسب الأحوال ، ووفقا لقانون المرافعات أن يتدخل في الدعوى إلى …»؟,المادة 440,مادة 440,reverse,ar
76,"In which article of the Egyptian Civil Code does the following text appear: ""When an action for revendication in respect of the thing sold is brought against the purchaser, the vendor, upon receipt of notice of the …""?",Article 440,Article 440,reverse,en
77,ما نص المادة 461 من القانون المدني المصري؟,في بيع العروض وغيرها من المنقولات إذا اتفق على ميعاد لدفع الثمن وتسلم المبيع يكون البيع مفسوخا دون حاجة إلى أعذار إن لم يدفع الثمن عند حلول الميعاد إذا اختار البائع ذلك ، وهذا ما لم يوجد اتفاق على غيره.,مادة 461,forward,ar
78,What does Article 461 of the Egyptian Civil Code state?,"In the case of a sale of commodities or other movable effects, when a term is agreed for payment of the price and for taking delivery, the sale will, subject to an agreement to the contrary, and at the option of the vendor, be ipso facto dissolved without any summons being necessary if the price is not paid upon due date.",Article 461,forward,en
79,في أي مادة من القانون المدني المصري ورد هذا النص: «في بيع العروض وغيرها من المنقولات إذا اتفق على ميعاد لدفع الثمن وتسلم المبيع يكون البيع مفسوخا دون حاجة إلى أعذار إن لم يدفع الثمن عند حلول …»؟,المادة 461,مادة 461,reverse,ar
80,"In which article of the Egyptian Civil Code does the following text appear: ""In the case of a sale of commodities or other movable effects, when a term is agreed for payment of the price and for taking delivery, the …""?",Article 461,Article 461,reverse,en
81,ما نص المادة 482 من القانون المدني المصري؟,المقايضة عقد به يلتزم كل من المتعاقدين أن ينقل إلى الأخر ، على سبيل التبادل ، ملكية مال ليس من النقود.,مادة 482,forward,ar
82,What does Article 482 of the Egyptian Civil Code state?,Exchange is a contract by which the contracting parties mutually bind themselves to transfer to the other by way of exchange the ownership of a thing other than money.,Article 482,forward,en
83,في أي مادة من القانون المدني المصري ورد هذا النص: «المقايضة عقد به يلتزم كل من المتعاقدين أن ينقل إلى الأخر ، على سبيل التبادل ، ملكية مال ليس من النقود.»؟,المادة 482,مادة 482,reverse,ar
84,"In which article of the Egyptian Civil Code does the following text appear: ""Exchange is a contract by which the contracting parties mutually bind themselves to transfer to the other by way of exchange the ownership …""?",Article 482,Article 482,reverse,en
85,ما نص المادة 503 من القانون المدني المصري؟,(١ (يترتب على الرجوع في الهبة بالتراضي أو بالتقاضي أن تعتبر الهبة كان لم تكن. (٢ (ولا يرد الموهوب له الثمرات إلا من وقت الاتفاق على الرجوع ، أو من وقت رفع الدعوى ، وله أن يرجع بجميع ما أنفقه من مصروفا ت ضرورية ، أما المصروفات النافعة فلا يجاوز في الرجوع بها القدر الذي زاد في قيمة الشيء الموهوب.,مادة 503,forward,ar
86,What does Article 503 of the Egyptian Civil Code state?,A gift revoked by mutual consent or by a judgment is deemed to be null and void. The donee is only liable for the restitution of the fruits as from the date of agreement of revocation or from the date of commencement of legal proceedings. He has the right to claim repayment of all necessary expenses that he has incurred and also of sums usefully spent by him but only up to the amount of any increase in value of the thing donated.,Article 503,forward,en
87,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يترتب على الرجوع في الهبة بالتراضي أو بالتقاضي أن تعتبر الهبة كان لم تكن. (٢ (ولا يرد الموهوب له الثمرات إلا من وقت الاتفاق على الرجوع …»؟,المادة 503,مادة 503,reverse,ar
88,"In which article of the Egyptian Civil Code does the following text appear: ""A gift revoked by mutual consent or by a judgment is deemed to be null and void. The donee is only liable for the restitution of the fruits …""?",Article 503,Article 503,reverse,en
89,ما نص المادة 524 من القانون المدني المصري؟,)١ (لا تضامن بين الشركاء فيما يلزم كل منهم من ديون الشركة ، ما لم يتفق على خلاف ذلك. )٢ (غير أنه إذا اعسر أحد الشركاء ، وزعت حصته في الدين على الباقين ، كل بقدر نصيبه في تحمل الخسارة.,مادة 524,forward,ar
90,What does Article 524 of the Egyptian Civil Code state?,"In the absence of an agreement to the contrary, the partners are not jointly or severally liable as regards their respective shares in the debts of the partnership. If, however, one of the partners becomes insolvent, his share in the debts of the partnership is apportioned among all the others in proportion to their respective shares in the losses.",Article 524,forward,en
91,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (لا تضامن بين الشركاء فيما يلزم كل منهم من ديون الشركة ، ما لم يتفق على خلاف ذلك. )٢ (غير أنه إذا اعسر أحد الشركاء ، وزعت حصته في الدين …»؟,المادة 524,مادة 524,reverse,ar
92,"In which article of the Egyptian Civil Code does the following text appear: ""In the absence of an agreement to the contrary, the partners are not jointly or severally liable as regards their respective shares in the …""?",Article 524,Article 524,reverse,en
93,ما نص المادة 545 من القانون المدني المصري؟,)١ (يجوز أن يتعهد شخص بأن يؤدي على الدوام إلى شخص أخر وإلى خلفائه من بعده دخلا دوريا يكون مبلغا من النقود أو مقدارا معينا من أشياء مثلية أخري ، ويكون هذا التعهد بعقد من عقود المعارضة أو التبرع أو بطريق الوصية. )٢ (فإذا كان ترتيب الدخل بعقد من عقود المعارضة ، اتبع في شانه من حيث سعر الفائدة القواعد التي تسري على القرض ذي الفائدة.,مادة 545,forward,ar
94,What does Article 545 of the Egyptian Civil Code state?,"An undertaking may be given to supply in perpetuity a person and after him his successors with a periodical prestation consisting of a sum of money or a fixed quantity of other fungibles. This obligation may be assumed by contract for or without valuable consideration, or by will. When the prestation is made by contract for valuable consideration, it is subject as regards the rate of interest, to the rules governing loans on interest.",Article 545,forward,en
95,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (يجوز أن يتعهد شخص بأن يؤدي على الدوام إلى شخص أخر وإلى خلفائه من بعده دخلا دوريا يكون مبلغا من النقود أو مقدارا معينا من أشياء مثلية …»؟,المادة 545,مادة 545,reverse,ar
96,"In which article of the Egyptian Civil Code does the following text appear: ""An undertaking may be given to supply in perpetuity a person and after him his successors with a periodical prestation consisting of a sum …""?",Article 545,Article 545,reverse,en
97,ما نص المادة 566 من القانون المدني المصري؟,يسري على الالتزام بتسليم العين المؤجرة ما يسري على الالتزام بتسليم العين المبيعة من أحكام ، وعلى الأخص ما يتعلق منها بزمان التسليم ومكانه وتحديد مقدار العين المؤجرة وتحديد ملحقاتها.,مادة 566,forward,ar
98,What does Article 566 of the Egyptian Civil Code state?,"The rules laid down as regards the obligation of delivery of the thing sold, especially as to time and place of delivery, as to extent, weight or measure, and as to determining its accessories, are applicable to the obligation of delivery of the leased property.",Article 566,forward,en
99,في أي مادة من القانون المدني المصري ورد هذا النص: «يسري على الالتزام بتسليم العين المؤجرة ما يسري على الالتزام بتسليم العين المبيعة من أحكام ، وعلى الأخص ما يتعلق منها بزمان التسليم ومكانه …»؟,المادة 566,مادة 566,reverse,ar
100,"In which article of the Egyptian Civil Code does the following text appear: ""The rules laid down as regards the obligation of delivery of the thing sold, especially as to time and place of delivery, as to extent, …""?",Article 566,Article 566,reverse,en
101,ما نص المادة 587 من القانون المدني المصري؟,الوفاء بسقط من الأجرة قرينة على الوفاء بالأقساط السابقة على هذا القسط حتى يقوم الدليل على عكس ذلك.,مادة 587,forward,ar
102,What does Article 587 of the Egyptian Civil Code state?,"The payment of a term's rent establishes in favor of the payee a presumption, subject to proof to the contrary, that former terms have been paid.",Article 587,forward,en
103,في أي مادة من القانون المدني المصري ورد هذا النص: «الوفاء بسقط من الأجرة قرينة على الوفاء بالأقساط السابقة على هذا القسط حتى يقوم الدليل على عكس ذلك.»؟,المادة 587,مادة 587,reverse,ar
104,"In which article of the Egyptian Civil Code does the following text appear: ""The payment of a term's rent establishes in favor of the payee a presumption, subject to proof to the contrary, that former terms have been …""?",Article 587,Article 587,reverse,en
