id,question,answer,legal_reference
12,موكلي دفع مبلغ لشخص وبعدها اكتشف إنه لم يكن مستحقًا. هل نرفع دعوى استرداد؟,نعم، من تسلم شيئًا غير مستحق على سبيل الوفاء يلتزم برده، مع مراعاة الاستثناءات المنصوص عليها.,مادة 181
13,شخص استفاد ماليًا على حساب موكلي بدون عقد أو سبب قانوني واضح. إيه التكييف القانوني المناسب؟,يمكن بحث الإثراء بلا سبب؛ فمن أثرى دون سبب مشروع على حساب آخر يلتزم بتعويضه في حدود ما أثرى به.,مادة 179
14,أنا محامي لمستأجر، والمؤجر رافض يعمل الترميمات الضرورية في العين المؤجرة. أطلب إيه؟,الأصل أن المؤجر يلتزم بصيانة العين وإجراء الترميمات الضرورية، ويمكن مطالبته بالتنفيذ أو بحث الفسخ أو إنقاص الأجرة أو التعويض حسب أثر الامتناع.,مادة 567
15,موكلي استلم شقة مؤجرة وطلع فيها عيب يمنع الانتفاع الطبيعي. هل الحل فسخ ولا إنقاص أجرة؟,إذا كانت العين لا تصلح للانتفاع المقصود أو كان الانتفاع ناقصًا نقصًا كبيرًا، يجوز طلب الفسخ أو إنقاص الأجرة بحسب الظروف.,مادة 565
16,المستأجر عمل تعديلات في العين المؤجرة من غير إذن المؤجر. هل أقدر أطلب إزالة التعديلات؟,لا يجوز للمستأجر إحداث تغيير دون إذن المؤجر إلا إذا كان لا ينشأ عنه ضرر. إذا كان التغيير ضارًا، يمكن بحث الإزالة والتعويض.,مادة 580
17,موكلي مؤجر، والمستأجر متأخر في دفع الأجرة. ما الإجراء القانوني المناسب؟,يراجع ميعاد السداد في العقد أو عرف الجهة، ثم يمكن بحث إعذار المستأجر والمطالبة بالأجرة أو الفسخ حسب الشروط والقانون.,مادة 586
18,عقد الإيجار انتهى والمستأجر لسه واضع يده على العين. هل أطالب بتعويض؟,نعم، عند انتهاء الإيجار يجب رد العين، وإذا أبقاها المستأجر دون حق يلتزم بتعويض يراعي القيمة الإيجارية والضرر.,مادة 590
19,المستأجر أجر العين من الباطن، والعقد لا يمنع ذلك صراحة. هل التصرف صحيح؟,الأصل أن للمستأجر حق التنازل عن الإيجار أو الإيجار من الباطن، ما لم يوجد اتفاق يقضي بغير ذلك.,مادة 593
20,موكلي اشترى شيئًا، والطرف الآخر بيقول إن البيع لم يتم رغم اتفاقهم. إمتى يعتبر العقد تم؟,العقد يتم بمجرد تبادل إرادتين متطابقتين على العناصر الجوهرية، مع مراعاة أي شكل خاص يفرضه القانون.,مادة 89
21,في عقد بين غائبين، محتاج أحدد مكان وزمان انعقاد العقد. أعتمد على إيه؟,الأصل أن التعاقد بين الغائبين يتم في المكان والزمان اللذين يعلم فيهما الموجب بالقبول، ويفترض العلم عند وصول القبول إليه.,مادة 97
22,عندي عميل عايز يطعن على عقد لأن سببه غير مشروع. هل ده يؤدي للبطلان؟,نعم، إذا كان الالتزام بلا سبب أو كان سببه مخالفًا للنظام العام أو الآداب، يكون العقد باطلًا.,مادة 136
23,الطرف الآخر بيطلب تفسير بند واضح في العقد بطريقة مختلفة. هل ده مقبول؟,إذا كانت عبارة العقد واضحة فلا يجوز الانحراف عنها بالتفسير. وإذا كان النص غامضًا، يبحث عن النية المشتركة للمتعاقدين.,مادة 150
24,عميل عندي عايز يعرف هل ممكن تعديل العقد بسبب ظروف غير متوقعة جعلت التنفيذ مرهق جدًا؟,يمكن بحث نظرية الظروف الطارئة إذا وقعت حوادث استثنائية عامة غير متوقعة جعلت التنفيذ مرهقًا يهدد بخسارة فادحة، فيجوز رد الالتزام للحد المعقول.,مادة 147
25,عندي عميل عمره 20 سنة أبرم تصرف قانوني مهم. هل عنده أهلية كاملة؟,سن الرشد هو 21 سنة ميلادية كاملة، لذلك من لم يبلغ هذا السن لا يكون كامل الأهلية ويجب فحص نوع التصرف.,مادة 44
26,طفل عمره 6 سنوات أجرى تصرفًا ماليًا. هل التصرف يعتد به؟,لا، لأنه فاقد للتمييز لعدم بلوغه السابعة، والصغير غير المميز لا يملك حق التصرف في ماله وتكون تصرفاته باطلة.,مادتان 45 و110
27,شخص استخدم اسم موكلي في معاملات بدون حق. ما الدعوى المناسبة؟,يجوز طلب وقف الاعتداء على الاسم والتعويض عن الضرر إذا ثبت.,مادة 51
28,موكلي اتعرض لاعتداء على حق من حقوقه الشخصية. هل أرفع دعوى وقف اعتداء فقط ولا تعويض كمان؟,يجوز طلب وقف الاعتداء غير المشروع على الحق الملازم للشخصية، والتعويض عن الضرر الناتج إذا ثبت.,مادة 50
29,في نزاع ولا يوجد نص قانوني مباشر يحكم المسألة. أطلب من الـ LLM يبحث على أي أساس قانوني؟,إذا لم يوجد نص تشريعي، يرجع إلى العرف، فإن لم يوجد فإلى مبادئ الشريعة الإسلامية، ثم مبادئ القانون الطبيعي وقواعد العدالة.,مادة 1
30,عندي عقد، والطرف الآخر بيتمسك بتنفيذه حرفيًا بطريقة فيها تعسف وسوء نية. هل أقدر أواجهه؟,نعم، يجب تنفيذ العقد بطريقة تتفق مع حسن النية، ويمكن أيضًا بحث التعسف في استعمال الحق إذا توافرت شروطه.,مادتان 148 و5
